key,value
#User Profile,4432730 (up to June 24th 2025)
#Follow,592279136 (up to June 24th 2025)
#Like,3929828540 (up to June 24th 2025)
#Post,243087346 (up to June 24th 2025)
#Repost,506487178 (up to June 24th 2025)
#Block,22018657 (up to June 24th 2025)
From,2021
Status,Updating Yearly
